,Angled_Item_Number,Square_Item_Number
0,012632-148-07546,027075-008-07546
1,012632-148-07556,027075-008-07556
2,012632-148-07576,027075-008-07576
3,012632-148-07596,027075-008-07596
4,013064-018-15066,027075-012-15066
5,013064-018-21066,027075-012-21066
6,013064-018-30066,027075-012-30066
7,013064-019-15076,027075-014-15076
8,013064-019-21076,027075-014-21076
9,013064-395-07146,027075-001-07146
10,013064-395-07156,027075-001-07156
11,013064-395-07166,027075-001-07166
12,013064-395-07176,027075-001-07176
13,013064-395-07186,027075-001-07186
14,013064-395-07196,027075-001-07196
15,013064-395-22146,027075-001-22146
16,013064-395-22156,027075-001-22156
17,013064-395-22166,027075-001-22166
18,013064-395-22176,027075-001-22176
19,013064-395-22186,027075-001-22186
20,013064-395-22196,027075-001-22196
21,013064-395-30146,027075-001-30146
22,013064-395-30156,027075-001-30156
23,013064-395-30166,027075-001-30166
24,013064-395-30176,027075-001-30176
25,013064-395-30186,027075-001-30186
26,013064-395-37146,027075-001-37146
27,013064-395-37156,027075-001-37156
28,013064-395-37166,027075-001-37166
29,013064-395-37176,027075-001-37176
30,013064-395-37186,027075-001-37186
31,013064-395-52146,027075-001-52146
32,013064-395-52156,027075-001-52156
33,013064-395-52166,027075-001-52166
34,013064-395-52176,027075-001-52176
35,013064-395-52186,027075-001-52186
36,013064-395-52196,027075-001-52196
37,013064-395-75146,027075-001-75146
38,013064-396-75056,027075-002-75056
39,013064-396-75066,027075-002-75066
40,013064-396-75076,027075-002-75076
41,013064-396-75086,027075-002-75086
42,013064-396-75096,027075-002-75096
43,013064-397-00046,027075-004-00046
44,013064-397-00056,027075-004-00056
45,013064-397-00066,027075-004-00066
46,013064-397-00076,027075-004-00076
47,013064-397-00086,027075-004-00086
48,013064-397-00096,027075-004-00096
49,014513-061-00046,027075-011-00046
50,014513-061-00076,027075-011-00076
