Type,Parent_Item_Number,Qty,VIM_Selected
LRD,026368-004-06574,133,Yes
LRD,026368-004-16574,143,Yes
BOR,030123-019-41152,89,Yes
BOR,030123-019-41252,22,Yes
BOR,030123-019-41262,15,Yes
BF,030123-003-05301,669,Yes
BF,030123-003-06301,357,Yes
BF,030123-003-07301,5,Yes
BF,030123-003-08301,91,Yes
BF,030123-006-05300,356,Yes
LRD,026368-004-06565,65,No
LRD,026368-004-06571,31,No
LRD,026368-004-06572,47,No
LRD,026368-004-06573,40,No
LRD,026368-004-06581,24,No
LRD,026368-004-06584,68,No
LRD,026368-004-06661,8,No
LRD,026368-004-06664,33,No
LRD,026368-004-16571,18,No
LRD,026368-004-16572,71,No
LRD,026368-004-16573,36,No
LRD,026368-004-16581,2,No
LRD,026368-004-16642,104,No
BOR,030123-019-11152,31,No
BOR,030123-019-11162,8,No
BOR,030123-019-11252,57,No
BOR,030123-019-11262,19,No
BOR,030123-019-21152,15,No
BOR,030123-019-21252,13,No
BOR,030123-019-21262,3,No
BOR,030123-023-11152,5,No
BOR,030123-023-11162,1,No
BOR,030123-023-21162,7,No
BOR,030123-023-21262,9,No
BOR,030123-023-41162,30,No
BOR,030123-023-41262,87,No
BF,030123-003-05070,147,No
BF,030123-003-05150,130,No
BF,030123-003-05302,76,No
BF,030123-003-06070,83,No
BF,030123-003-06150,100,No
BF,030123-003-06302,4,No
BF,030123-003-07070,2,No
BF,030123-003-07150,1,No
BF,030123-003-08070,15,No
BF,030123-003-08150,15,No
BF,030123-003-09070,17,No
BF,030123-003-09150,1,No
BF,030123-003-09301,17,No
BF,030123-003-09302,1,No
BF,030123-003-10070,9,No
BF,030123-003-10150,7,No
BF,030123-003-10302,26,No
BF,030123-006-06300,373,No
BF,030123-006-07300,4,No
BF,030123-006-08300,32,No
BF,030123-006-09300,30,No
BF,030123-006-10300,15,No
