Angled Deck,,Square Deck,,Sum of Total Units,,Angled,Square
Item Number,Dash,Item Number,Dash,,,,
012632-148,,027075-008,,,,,
Weldment Heavy Deck,,Weldment DotM Heavy Square Deck,,834,,,
Length750 mm / width 460 mm,07546,,07546,47,,012632-148-07546,027075-008-07546
Length750 mm / width 560 mm,07556,,07556,769,,012632-148-07556,027075-008-07556
Length750 mm / width 760 mm,07576,,07576,15,,012632-148-07576,027075-008-07576
Length750 mm / width 960 mm,07596,,07596,3,,012632-148-07596,027075-008-07596
013064-018,,027075-012,,,,,
Merge deck small,,DotM Square Merge Deck Small,,32,,,
Length1500 mm / width 660 mm,15066,,15066,23,,013064-018-15066,027075-012-15066
Length2100 mm / width 660 mm,21066,,21066,7,,013064-018-21066,027075-012-21066
Length3000 mm / width 660 mm,30066,,30066,2,,013064-018-30066,027075-012-30066
013064-019,,027075-014,,,,,
Weldment merge deck,,Weldment DotM Square Merge Deck,,20,,,
Length1500 mm / width 760 mm,15076,,15076,6,,013064-019-15076,027075-014-15076
Length2100 mm / width 760 mm,21076,,21076,14,,013064-019-21076,027075-014-21076
013064-395,,027075-001,,,,,
Deck Standard BF (epoxy coated / blank),,DotM Square Deck,,5431,,,
Length70 mm / width 460 mm,07146,,07146,181,,013064-395-07146,027075-001-07146
Length70 mm / width 560 mm,07156,,07156,42,,013064-395-07156,027075-001-07156
Length70 mm / width 660 mm,07166,,07166,13,,013064-395-07166,027075-001-07166
Length70 mm / width 760 mm,07176,,07176,27,,013064-395-07176,027075-001-07176
Length70 mm / width 860 mm,07186,,07186,1,,013064-395-07186,027075-001-07186
Length70 mm / width 960 mm,07196,,07196,6,,013064-395-07196,027075-001-07196
Length220 mm / width 460 mm,22146,,22146,258,,013064-395-22146,027075-001-22146
Length220 mm / width 560 mm,22156,,22156,237,,013064-395-22156,027075-001-22156
Length220 mm / width 660 mm,22166,,22166,49,,013064-395-22166,027075-001-22166
Length220 mm / width 760 mm,22176,,22176,67,,013064-395-22176,027075-001-22176
Length220 mm / width 860 mm,22186,,22186,79,,013064-395-22186,027075-001-22186
Length220 mm / width 960 mm,22196,,22196,11,,013064-395-22196,027075-001-22196
Length300 mm / width 460 mm,30146,,30146,172,,013064-395-30146,027075-001-30146
Length300 mm / width 560 mm,30156,,30156,188,,013064-395-30156,027075-001-30156
Length300 mm / width 660 mm,30166,,30166,30,,013064-395-30166,027075-001-30166
Length300 mm / width 760 mm,30176,,30176,19,,013064-395-30176,027075-001-30176
Length300 mm / width 860 mm,30186,,30186,5,,013064-395-30186,027075-001-30186
Length370 mm / width 460 mm,37146,,37146,91,,013064-395-37146,027075-001-37146
Length370 mm / width 560 mm,37156,,37156,32,,013064-395-37156,027075-001-37156
Length370 mm / width 660 mm,37166,,37166,13,,013064-395-37166,027075-001-37166
Length370 mm / width 760 mm,37176,,37176,12,,013064-395-37176,027075-001-37176
Length370 mm / width 860 mm,37186,,37186,1,,013064-395-37186,027075-001-37186
Length520 mm / width 460 mm,52146,,52146,139,,013064-395-52146,027075-001-52146
Length520 mm / width 560 mm,52156,,52156,111,,013064-395-52156,027075-001-52156
Length520 mm / width 660 mm,52166,,52166,16,,013064-395-52166,027075-001-52166
Length520 mm / width 760 mm,52176,,52176,18,,013064-395-52176,027075-001-52176
Length520 mm / width 860 mm,52186,,52186,1,,013064-395-52186,027075-001-52186
Length520 mm / width 960 mm,52196,,52196,5,,013064-395-52196,027075-001-52196
Length750 mm / width 460 mm,75146,,75146,3607,,013064-395-75146,027075-001-75146
013064-396,,027075-002,,,,,
Weldmt Standard Deck BF (epoxy coated / blank),,Weldment DotM Square Deck,,3300,,,
Length7500 mm / width 560 mm,75056,,75056,2074,,013064-396-75056,027075-002-75056
Length7500 mm / width 660 mm,75066,,75066,423,,013064-396-75066,027075-002-75066
Length7500 mm / width 760 mm,75076,,75076,462,,013064-396-75076,027075-002-75076
Length7500 mm / width 860 mm,75086,,75086,214,,013064-396-75086,027075-002-75086
Length7500 mm / width 960 mm,75096,,75096,127,,013064-396-75096,027075-002-75096
013064-397,,027075-004,,,,,
Deck ETU BF,,DotM Square Deck ETU,,1628,,,
width 460 mm,00046,,00046,740,,013064-397-00046,027075-004-00046
width 560 mm,00056,,00056,590,,013064-397-00056,027075-004-00056
width 660 mm,00066,,00066,64,,013064-397-00066,027075-004-00066
width 760 mm,00076,,00076,121,,013064-397-00076,027075-004-00076
width 860 mm,00086,,00086,89,,013064-397-00086,027075-004-00086
width 960 mm,00096,,00096,24,,013064-397-00096,027075-004-00096
014513-061,,027075-011,,,,,
Deck ETU BF (Epoxy Coated / Blank) for STX.M,,DotM Square Deck ETU for STX,,19,,,
width 460 mm,00046,,00046,16,,014513-061-00046,027075-011-00046
width 760 mm,00076,,00076,3,,014513-061-00076,027075-011-00076
